FinancialYear,SettlementDate,SettlementPeriod,1,2,3,4,5,6,7,8,9
2020/21,43926,41,32,78,24,130,19,19,88,44,103
2020/21,43926,42,32,83,37,130,25,25,88,44,103
2020/21,43926,43,32,89,42,128,35,35,88,44,103
2020/21,43926,44,31,91,39,80,44,44,88,44,103
2020/21,43926,45,31,91,42,28,58,58,88,44,103
2020/21,43926,46,31,92,41,137,76,76,88,44,103
2020/21,43926,47,31,92,34,134,74,74,88,44,103
2020/21,43926,48,31,92,20,137,71,71,88,44,103
2020/21,43927,1,31,92,32,135,73,73,88,44,103
2020/21,43927,2,31,92,39,136,77,77,88,44,103
2020/21,43927,3,31,92,43,138,76,76,88,44,103
2020/21,43927,4,31,91,47,134,77,77,88,44,103
2020/21,43927,5,30,92,38,143,74,74,88,44,103
2020/21,43927,6,30,92,53,3,55,55,88,44,103
2020/21,43927,7,30,90,21,139,45,45,88,44,103
2020/21,43927,8,29,89,40,138,35,35,88,44,103
2020/21,43927,9,27,89,47,110,32,32,88,44,103
2020/21,43927,10,25,82,420,110,26,26,88,44,103
2020/21,43927,11,23,83,33,134,31,31,88,44,103
2020/21,43927,12,22,89,36,131,37,37,88,44,103
2020/21,43927,13,23,89,40,132,42,42,88,44,103
2020/21,43927,14,24,89,41,93,37,37,88,44,103
2020/21,43927,15,8,82,41,134,46,46,82,41,78
2020/21,43927,16,27,74,40,143,28,28,76,38,26
2020/21,43927,17,28,73,38,138,16,16,60,30,24
2020/21,43927,18,10,67,41,143,12,12,54,27,33
2020/21,43927,19,30,79,41,143,10,10,46,23,36
2020/21,43927,20,11,80,47,130,6,6,36,18,43
2020/21,43927,21,31,78,47,142,16,16,34,17,56
2020/21,43927,22,18,83,41,135,24,24,20,10,55
2020/21,43927,23,28,65,33,134,19,19,12,6,60
2020/21,43927,24,31,63,26,130,10,10,14,7,54
2020/21,43927,25,30,71,27,122,9,9,26,13,51
2020/21,43927,26,30,78,27,120,1,1,30,15,48
2020/21,43927,27,21,76,28,97,11,11,26,13,50
2020/21,43927,28,20,83,27,96,8,8,30,15,66
2020/21,43927,29,29,51,27,112,5,5,34,17,50
2020/21,43927,30,28,60,27,108,4,4,34,17,60
2020/21,43927,31,28,68,17,101,3,3,28,14,55
2020/21,43927,32,27,59,27,91,3,3,28,14,52
2020/21,43927,33,26,53,28,73,2,2,38,19,57
2020/21,43927,34,25,54,29,62,4,4,40,20,36
2020/21,43927,35,22,39,22,42,4,4,20,10,44
2020/21,43927,36,17,26,15,24,7,7,2,1,61
2020/21,43927,37,20,22,16,15,4,4,40,20,55
2020/21,43927,38,14,20,9,14,4,4,32,16,46
2020/21,43927,39,17,16,4,14,13,13,2,1,40
2020/21,43927,40,22,16,4,19,17,17,0,0,49
2020/21,43927,41,17,14,5,12,13,13,0,0,61
2020/21,43927,42,10,19,3,10,8,8,0,0,49
2020/21,43927,43,9,15,2,10,7,7,0,0,38
2020/21,43927,44,5,14,1,9,4,4,2,1,30
2020/21,43927,45,10,12,1,14,2,2,4,2,17
2020/21,43927,46,12,13,2,16,1,1,2,1,9
2020/21,43927,47,13,11,3,14,1,1,2,1,5
2020/21,43927,48,17,9,2,14,1,1,2,1,6
2020/21,43928,1,19,9,1,18,3,3,4,2,9
2020/21,43928,2,14,6,1,18,3,3,2,1,9
2020/21,43928,3,10,7,1,19,3,3,0,0,7
2020/21,43928,4,15,11,2,20,2,2,0,0,4
2020/21,43928,5,16,9,1,21,2,2,0,0,1
2020/21,43928,6,11,7,1,17,1,1,0,0,1
2020/21,43928,7,18,6,0,15,4,4,2,1,0
2020/21,43928,8,25,6,0,13,5,5,2,1,0
2020/21,43928,9,12,8,0,13,8,8,4,2,0
2020/21,43928,10,11,14,10,12,10,10,2,1,0
2020/21,43928,11,14,10,1,7,6,6,2,1,0
2020/21,43928,12,20,9,1,5,7,7,2,1,0
2020/21,43928,13,15,9,1,7,6,6,2,1,0
2020/21,43928,14,18,7,1,11,6,6,2,1,0
2020/21,43928,15,13,7,1,12,8,8,2,1,0
2020/21,43928,16,18,9,1,12,12,12,4,2,5
2020/21,43928,17,11,11,1,17,11,11,6,3,6
2020/21,43928,18,15,12,1,28,11,11,10,5,5
2020/21,43928,19,30,14,3,31,12,12,20,10,8
