SettlementDate,SettlementPeriod,PGCErrorPrice(£/MWh)
09/04/2020,13,-7.200066667
09/04/2020,14,5.188377778
09/04/2020,15,9.259066667
09/04/2020,16,9.745266667
09/04/2020,17,9.072066667
09/04/2020,18,9.3588
09/04/2020,19,5.5066
09/04/2020,20,5.6936
09/04/2020,21,8.698066667
09/04/2020,22,8.099666667
09/04/2020,23,7.276866667
09/04/2020,24,7.5636
09/04/2020,25,10.593
09/04/2020,26,9.3214
09/04/2020,27,-21.64184444
09/04/2020,28,-16.6454
09/04/2020,29,-13.13762222
09/04/2020,30,18.50933333
09/04/2020,31,9.383733333
09/04/2020,32,8.299133333
09/04/2020,33,6.753266667
09/04/2020,34,6.977666667
09/04/2020,35,6.828066667
09/04/2020,36,5.980333333
09/04/2020,37,5.344533333
09/04/2020,38,5.325266667
09/04/2020,39,5.755933333
09/04/2020,40,5.239711111
09/04/2020,41,6.1798
09/04/2020,42,6.204733333
09/04/2020,43,5.479266667
09/04/2020,44,3.665488889
09/04/2020,45,4.041933333
09/04/2020,46,2.673044444
09/04/2020,47,2.399266667
09/04/2020,48,2.399266667
10/04/2020,1,2.211044444
10/04/2020,2,2.125488889
10/04/2020,3,2.313711111
10/04/2020,4,2.638822222
10/04/2020,5,1.475266667
10/04/2020,6,2.536155556
10/04/2020,7,3.511488889
10/04/2020,8,3.254822222
10/04/2020,9,3.956377778
10/04/2020,10,2.673044444
10/04/2020,11,2.998155556
10/04/2020,12,4.166844444
10/04/2020,13,2.4506
10/04/2020,14,3.922155556
10/04/2020,15,-0.287177778
10/04/2020,16,2.005711111
10/04/2020,17,5.462155556
10/04/2020,18,1.115933333
10/04/2020,19,0.979044444
10/04/2020,20,1.098822222
10/04/2020,21,0.927711111
10/04/2020,22,2.519044444
10/04/2020,23,2.655933333
10/04/2020,24,2.228155556
10/04/2020,25,5.154155556
10/04/2020,26,5.941266667
10/04/2020,27,5.479266667
10/04/2020,28,5.804377778
10/04/2020,29,3.9906
10/04/2020,30,-6.1734
10/04/2020,31,2.005711111
10/04/2020,32,5.889933333
10/04/2020,33,1.971488889
10/04/2020,34,6.803133333
10/04/2020,35,7.289333333
10/04/2020,36,9.558266667
10/04/2020,37,6.197933333
10/04/2020,38,5.818266667
10/04/2020,39,6.095266667
10/04/2020,40,-0.543844444
10/04/2020,41,2.6046
10/04/2020,42,9.6954
10/04/2020,43,-22.56584444
10/04/2020,44,-26.51851111
10/04/2020,45,5.568933333
10/04/2020,46,4.110377778
10/04/2020,47,-35.98095556
10/04/2020,48,-26.5014
11/04/2020,1,-17.34695556
11/04/2020,2,-0.441177778
11/04/2020,3,-0.441177778
11/04/2020,4,-0.441177778
11/04/2020,5,-0.441177778
11/04/2020,6,-15.99688889
11/04/2020,7,-9.475844444
11/04/2020,8,-11.46073333
11/04/2020,9,-1.2454
11/04/2020,10,-0.441177778
11/04/2020,11,-4.582066667
